date,val
11/12/08,2.5
11/13/08,4.2
11/14/08,7.5
11/15/08,2.75
11/16/08,-0.85
11/17/08,1.4
11/18/08,-3.35
11/19/08,-2.8
11/20/08,2.5
11/21/08,-6.95
11/22/08,-7.25
11/23/08,-2.25
11/24/08,1.65
11/25/08,-0.55
11/26/08,-1.4
11/27/08,0.8
11/28/08,0.55
11/29/08,0.25
11/30/08,-0.55
12/1/08,-3.05
12/2/08,-6.65
12/3/08,-1.35
12/4/08,-7.8
12/5/08,-10.25
12/6/08,-5.25
12/7/08,-8.85
12/8/08,-7.5
12/9/08,-3.05
12/10/08,-9.75
12/11/08,-8.3
12/12/08,-5.85
12/13/08,-3.9
12/14/08,3.05
12/15/08,-7.5
12/16/08,-18.1
12/17/08,-16.1
12/18/08,-14.15
12/19/08,-10
12/20/08,-7.5
12/21/08,-13.9
12/22/08,-20.85
12/23/08,-15.25
12/24/08,-7.25
12/25/08,-14.7
12/26/08,-5.85
12/27/08,3.35
12/28/08,-5.25
12/29/08,-3.05
12/30/08,-0.85
12/31/08,-7.25
